id,category,sub_category,lat,lon
655022868,sustenance,restaurant,12.9208242,77.6514164
708987246,sustenance,restaurant,12.879313,77.6367654
726126846,sustenance,restaurant,13.0540453,77.5074759
726127154,sustenance,restaurant,13.053803,77.507439
726508722,sustenance,restaurant,13.09502,77.597268
347079551,sustenance,ice_cream,12.9229257,77.573212
613384192,sustenance,ice_cream,12.9422854,77.6227483
23001013,education,college,12.8657635,77.6013598
24579528,education,college,12.9177209,77.6710437
24579838,education,college,12.8965353,77.675854
32260421,education,college,12.9085681,77.5925789
32290801,education,college,12.9328613,77.6165599
32314371,education,college,12.9307388,77.6191669
32426424,education,college,12.9210838,77.596293
35703028,education,college,13.0388782,77.6407102
35703030,education,college,13.036353,77.6388692
35901714,education,college,13.0342682,77.53263
35901716,education,college,13.0347813,77.5350064
35911235,education,college,13.0640079,77.6694264
35912579,education,college,13.0623295,77.6543975
36853148,education,college,12.9629519,77.5966097
37107313,education,college,13.0211551,77.5747986
37339405,education,college,12.9585864,77.5746675
37450422,education,college,12.9295329,77.6329275
37592665,education,college,13.0312504,77.6696022
37786374,education,college,12.9461716,77.6115498
37814813,education,college,13.0567614,77.6629207
37828595,education,college,13.0284669,77.6397006
37828662,education,college,13.0267216,77.6401862
37867734,education,college,13.0113751,77.5685918
38542547,education,college,12.9753556,77.5840467
38542549,education,college,12.9779198,77.5864295
38542914,education,college,12.9728284,77.5854381
38751027,education,college,12.9551191,77.5745838
38858222,education,college,13.0130882,77.5811095
38858232,education,college,13.0118037,77.5603141
38858241,education,college,13.0135247,77.5753732
38870504,education,college,13.0009079,77.5829911
38870576,education,college,12.9932789,77.5877866
38968934,education,college,13.0336738,77.5359529
40629063,education,college,12.9559164,77.5728761
40629481,education,college,12.9255074,77.5788358
40629484,education,college,12.9247333,77.5788669
40633846,education,college,12.9270018,77.5888524
40633850,education,college,12.9225298,77.592702
41184091,education,college,12.9275838,77.6180842
41184092,education,college,12.9264869,77.6213331
41725061,education,college,12.95715,77.6640723
41972358,education,college,13.0438041,77.5448045
42014451,education,college,13.0458695,77.5497795
42014453,education,college,13.0428557,77.5383722
42395485,education,college,13.0309237,77.5881813
42395486,education,college,13.0326928,77.5852075
42407829,education,college,13.0502782,77.5552088
42407837,education,college,13.0560815,77.5530931
45443657,education,college,12.9891454,77.5807461
45443682,education,college,12.9889165,77.5762579
46251156,education,college,13.0456314,77.5333949
46611578,education,college,13.0371969,77.6437562
46922187,education,college,13.0237647,77.5312839
46950395,education,college,13.0090471,77.5698049
52063723,education,college,12.9745254,77.5860683
52245300,education,college,12.9746251,77.5812983
52245880,education,college,12.9768333,77.5828496
52333547,education,college,12.8657482,77.6010142
53264744,education,college,12.9711934,77.6043738
53859313,education,college,12.9764252,77.5636645
54147967,education,college,12.9667819,77.5395044
55675143,education,college,12.9278371,77.5870058
55685638,education,college,12.923227,77.5005506
56312276,education,college,13.0722766,77.6574607
56734546,education,college,12.9636618,77.6379214
59358860,education,college,12.9765873,77.6342897
82432616,education,college,13.0994501,77.5853307
82432618,education,college,13.0998328,77.5880424
